obs,time,deployment,conductivity,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,seawater_pressure,profiler_timestamp,practical_salinity,suspect_timestamp,seawater_temperature,density,conductivity_qc_executed,conductivity_qc_results,pressure_qc_executed,pressure_qc_results,salinity_qc_executed,salinity_qc_results,density_qc_executed,density_qc_results,temperature_qc_executed,temperature_qc_results,lat,lon
"('52',)",3773073030,14,3.533370018,3779218472,3779218544,3773073030,0,internal_timestamp,64.61199951,1564084230,33.75379944,0,8.282099724,1026.551734,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('53',)",3773073030,14,3.533380032,3779218472,3779218544,3773073030,0,internal_timestamp,64.61499786,1564084230,33.75389862,0,8.281999588,1026.55184,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('54',)",3773073030,14,3.533380032,3779218472,3779218544,3773073030,0,internal_timestamp,64.61599731,1564084230,33.75389862,0,8.282099724,1026.55183,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('55',)",3773073030,14,3.533380032,3779218472,3779218544,3773073030,0,internal_timestamp,64.61599731,1564084230,33.75370026,0,8.28219986,1026.551659,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('56',)",3773073030,14,3.533370018,3779218472,3779218544,3773073030,0,internal_timestamp,64.61699677,1564084230,33.75360107,0,8.282299995,1026.551571,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('57',)",3773073030,14,3.533370018,3779218472,3779218544,3773073030,0,internal_timestamp,64.61499786,1564084230,33.75350189,0,8.282400131,1026.551469,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('58',)",3773073030,14,3.533370018,3779218472,3779218544,3773073030,0,internal_timestamp,64.62000275,1564084230,33.7533989,0,8.282400131,1026.551411,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('59',)",3773073030,14,3.533370018,3779218472,3779218544,3773073030,0,internal_timestamp,64.6210022,1564084230,33.75350189,0,8.282400131,1026.551496,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('60',)",3773073030,14,3.533370018,3779218472,3779218544,3773073030,0,internal_timestamp,64.6210022,1564084230,33.75350189,0,8.282400131,1026.551496,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('61',)",3773073030,14,3.533380032,3779218472,3779218544,3773073030,0,internal_timestamp,64.6210022,1564084230,33.75350189,0,8.282500267,1026.551481,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
